pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164759,CEUORZQYGODEFX-UHFFFAOYSA-N,Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,solo_cribado,False,2.6,,False,False,,,,4.3316,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164980,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,Cytarabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,solo_cribado,False,5.64,,False,False,,,,4.3275,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164453,DDUHZTYCFQRHIY-RBHXEPJQSA-N,Griseofulvin,COC1=CC(=O)C[C@@H](C)[C@]11Oc2c(C1=O)c(OC)cc(OC)c2Cl,solo_cribado,False,11.08,,False,False,,,,4.3272,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164546,ANTSCNMPPGJYLG-UHFFFAOYSA-N,Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,solo_cribado,False,19.46,,False,False,,,,4.327,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164675,QAOAOVKBIIKRNL-UHFFFAOYSA-N,MK 886,CC(C)c1ccc2n(Cc3ccc(Cl)cc3)c(CC(C)(C)C(O)=O)c(SC(C)(C)C)c2c1,solo_cribado,False,11.6,,False,False,,,,4.3236,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164404,YQZBAXDVDZTKEQ-UHFFFAOYSA-N,Loxapine succinate,CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(Cl)cc12.OC(=O)CCC(=O)O,solo_cribado,False,7.32,,False,False,,,,4.3229,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0165031,QTAOMKOIBXZKND-UHFFFAOYSA-N,Carbidopa,CC(Cc1ccc(O)c(O)c1)(NN)C(O)=O.O,solo_cribado,False,11.66,,False,False,,,,4.3227,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164792,CGDDQFMPGMYYQP-UHFFFAOYSA-N,Disopyramide phosphate,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C.OP(=O)(O)O,solo_cribado,False,5.68,,False,False,,,,4.3211,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164988,BPLBGHOLXOTWMN-UHFFFAOYSA-N,Penicillin V,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(O)=O,mic_confirmado,False,10.28,,True,False,,,,4.3198,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164519,YJGVMLPVUAXIQN-XVVDYKMHSA-N,Podofilox,COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12,solo_cribado,False,15.68,,False,False,,,,4.3189,concordancia_negativa
