pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164614,CWKFWBJJNNPGAM-IPZCTEOASA-N,Ozagrel hydrochloride,OC(=O)\C=C\c1ccc(Cn2ccnc2)cc1.Cl,solo_cribado,False,2.38,,False,False,,,,3.8641,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164500,FELGMEQIXOGIFQ-UHFFFAOYSA-N,Ondansetron,Cc1nccn1CC1CCc2c(C1=O)c1ccccc1n2C,solo_cribado,False,13.9,,False,False,,,,3.8633,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164925,PPKXEPBICJTCRU-XMZRARIVSA-N,Tramadol hydrochloride,COc1cccc(c1)[C@@]1(O)CCCC[C@@H]1CN(C)C.Cl,solo_cribado,False,8.23,,False,False,,,,3.8626,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164684,MTKNGOHFNXIVOS-UHFFFAOYSA-N,Ticlopidine hydrochloride,Clc1ccccc1CN1CCc2sccc2C1.Cl,solo_cribado,False,13.69,,False,False,,,,3.8625,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164975,HYQMIUSWZXGTCC-UHFFFAOYSA-N,Remacemide hydrochloride,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1.Cl,solo_cribado,False,20.6,,False,False,,,,3.8617,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165002,ROBVIMPUHSLWNV-UHFFFAOYSA-N,Aminoglutethimide,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,solo_cribado,False,14.25,,False,False,,,,3.8615,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164705,PZRHRDRVRGEVNW-UHFFFAOYSA-N,Milrinone,Cc1nc(O)c(cc1-c1ccncc1)C#N,solo_cribado,False,42.18,,False,False,,,,3.8583,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165047,BLXXJMDCKKHMKV-UHFFFAOYSA-N,Nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,solo_cribado,False,12.84,,False,False,,,,3.8579,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164905,NOIIUHRQUVNIDD-UHFFFAOYSA-N,Nialamide,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,solo_cribado,False,16.52,,False,False,,,,3.8566,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164486,WOLHOYHSEKDWQH-UHFFFAOYSA-N,Symmetrel,NC12CC3CC(CC(C3)C1)C2.Cl,solo_cribado,False,10.58,,False,False,,,,3.856,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164384,UCAIEVHKDLMIFL-UHFFFAOYSA-N,Clobenpropit,Clc1ccc(CNC(=N)SCCCc2c[nH]cn2)cc1,solo_cribado,False,6.44,,False,False,,,,3.8543,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164523,MWLSOWXNZPKENC-UHFFFAOYSA-N,Zileuton,CC(N(O)C(N)=O)c1cc2ccccc2s1,solo_cribado,False,6.91,,False,False,,,,3.8538,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164395,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Secnidazole,CC(O)Cn1c(C)ncc1[N+]([O-])=O,solo_cribado,False,10.92,,True,False,,,,3.8537,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164492,MBWXNTAXLNYFJB-UHFFFAOYSA-N,Phylloquinone,CC(C)CCCC(C)CCCC(C)CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,solo_cribado,False,12.7,,False,False,,,,3.8534,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164423,MHNSPTUQQIYJOT-SJDTYFKWSA-N,Doxepin hydrochloride,CN(C)CC\C=C1/c2ccccc2COc2ccccc12.Cl,solo_cribado,False,13.78,,False,False,,,,3.8532,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165044,ZFSPFXJSEHCTTR-UHFFFAOYSA-N,Procyclidine hydrochloride,OC(CCN1CCCC1)(C1CCCCC1)c1ccccc1.Cl,solo_cribado,False,7.85,,False,False,,,,3.8527,concordancia_negativa
